div_num,sch_num,sch_name
029,1260,W.T. Woodson High School
029,1260,Woodson High
029,1270,Edison High
029,1270,Thomas A. Edison High School
029,1290,George C. Marshall High School
029,1290,Marshall High
029,1300,Carl Sandburg Middle School
029,1300,Sandburg Middle
029,1310,Ravensworth Elementary
029,1310,Ravensworth Elementary School
029,1320,Washington Mill Elementary
029,1320,Washington Mill Elementary School
029,1330,Hollin Meadows Elementary
029,1330,Hollin Meadows Elementary School
029,1350,Stratford Landing Elementary
029,1350,Stratford Landing Elementary School
029,1360,Annandale Terrace Elementary
029,1360,Annandale Terrace Elementary School
029,1371,Thomas Jefferson High
029,1371,Thomas Jefferson High School
029,1371,Thomas Jefferson High School for Science and Technology
029,1371,Thomas Jefferson High for Science and Technology
029,1380,Stenwood Elementary
029,1380,Stenwood Elementary School
029,1390,Mosby Woods Elementary
029,1390,Mosby Woods Elementary School
029,1400,Little Run Elementary
029,1400,Little Run Elementary School
029,1410,Frost Middle
029,1410,Robert Frost Middle School
029,1420,Hybla Valley Elementary
029,1420,Hybla Valley Elementary School
029,1430,West Springfield Elementary
029,1430,West Springfield Elementary School
029,1440,Kings Park Elementary
029,1440,Kings Park Elementary School
029,1450,Forestdale Elementary
029,1450,Forestdale Elementary School
029,1460,Langley High
029,1460,Langley High School
029,1480,Fairfax Villa Elementary
029,1480,Fairfax Villa Elementary School
029,1500,Greenbriar West Elementary
029,1500,Greenbriar West Elementary School
029,1510,Columbia Elementary
029,1510,Columbia Elementary School
029,1521,Holmes Middle
029,1521,Oliver Wendell Holmes Middle School
029,1530,Armstrong Elementary
029,1540,Union Mill Elementary
029,1540,Union Mill Elementary School
029,1550,Walt Whitman Middle School
029,1550,Whitman Middle
029,1570,Lake Anne Elementary
029,1570,Lake Anne Elementary School
029,1580,Westbriar Elementary
029,1580,Westbriar Elementary School
029,1590,Canterbury Woods Elementary
029,1590,Canterbury Woods Elementary School
029,1600,Cub Run Elementary
029,1600,Cub Run Elementary School
029,1610,West Springfield High
029,1610,West Springfield High School
029,1620,Spring Hill Elementary
029,1620,Spring Hill Elementary School
029,1630,Fairhill Elementary
029,1630,Fairhill Elementary School
029,1640,Mount Vernon Woods Elementary
029,1640,Mount Vernon Woods Elementary School
029,1650,Olde Creek Elementary
029,1650,Olde Creek Elementary School
029,1660,Shrevewood Elementary
029,1660,Shrevewood Elementary School
029,1670,Westgate Elementary
029,1670,Westgate Elementary School
029,1680,Silverbrook Elementary
029,1680,Silverbrook Elementary School
029,1690,Cardinal Forest Elementary
029,1690,Cardinal Forest Elementary School
029,1700,Cunningham Park Elementary
029,1700,Cunningham Park Elementary School
029,1710,Oakton High
029,1710,Oakton High School
029,1730,Beech Tree Elementary
029,1730,Beech Tree Elementary School
029,1740,Hayfield Elementary
029,1740,Hayfield Elementary School
029,1760,Joyce Kilmer Middle School
029,1760,Kilmer Middle
029,1761,Kilmer Center
029,1770,Rolling Valley Elementary
029,1770,Rolling Valley Elementary School
029,1790,Brookfield Elementary
029,1790,Brookfield Elementary School
029,1800,Hayfield Secondary
029,1800,Hayfield Secondary School
029,1810,Wolftrap Elementary
029,1810,Wolftrap Elementary School
029,1820,Riverside Elementary
029,1820,Riverside Elementary School
029,1830,London Towne Elementary
029,1830,London Towne Elementary School
029,1840,Greenbriar East Elementary
029,1840,Greenbriar East Elementary School
029,1850,Lees Corner
029,1850,Lees Corner Elementary
029,1850,Lees Corner Elementary School
029,1860,Oak View Elementary
029,1860,Oak View Elementary School
029,1870,Clermont Elementary
029,1870,Clermont Elementary School
029,1880,Hunt Valley Elementary
029,1880,Hunt Valley Elementary School
029,1890,Kings Glen Elementary
029,1890,Kings Glen Elementary School
029,1900,Francis Scott Key Middle School
029,1900,Key Middle
029,1901,Key Center
029,1901,Key Center School
029,1920,Fort Hunt Elementary
029,1920,Fort Hunt Elementary School
029,1940,Camelot Elementary
029,1940,Camelot Elementary School
029,1950,Hunters Woods Elementary
029,1950,Hunters Woods Elementary School for the Arts and Sciences
029,1960,James W. Robinson Jr. Secondary School
029,1960,Robinson Secondary
029,1970,Laurel Ridge Elementary
